title,artist,id,spotifyURL,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,key
Lovely,c a n d i d !,0EqczV3o6fwksegAavIHpX,https://open.spotify.com/track/0EqczV3o6fwksegAavIHpX,0.832,0.613,116104,0.81,0.899,0.137,-6.16,1,0.488,150.251,4,0.686,1
No Guns,Cory Henry,7BN5emnco3opS6u3baUuR1,https://open.spotify.com/track/7BN5emnco3opS6u3baUuR1,0.314,0.419,267627,0.461,0,0.476,-8.229,1,0.0362,175.802,3,0.342,1
Air Conditioner,阿蘭 AC,41gpULppid9CBknIuRWH6r,https://open.spotify.com/track/41gpULppid9CBknIuRWH6r,0.145,0.132,590000,0.142,0.2,0.138,-27.18,0,0.0976,81.254,1,0.0158,10
fluorescent,motifs,7e8utCy2JlSB8dRHKi49xM,https://open.spotify.com/track/7e8utCy2JlSB8dRHKi49xM,0.00178,0.646,173493,0.813,0.0000226,0.144,-5.29,0,0.0288,112.115,4,0.821,6
Work Day,Harrison Finks,6NXLFtn6k1V3M1VwtEQdBQ,https://open.spotify.com/track/6NXLFtn6k1V3M1VwtEQdBQ,0.0194,0.838,74874,0.438,0.789,0.117,-13.2,1,0.116,153.979,4,0.729,11
ALieNNatioN,The Voidz,7zpHInsypgrnY9zTeCXtI4,https://open.spotify.com/track/7zpHInsypgrnY9zTeCXtI4,0.211,0.612,279840,0.823,0.032,0.105,-5.144,0,0.0344,92.957,4,0.449,5
Baby,Drugdealer,5ygDXis42ncn6kYG14lEVG,https://open.spotify.com/track/5ygDXis42ncn6kYG14lEVG,0.259,0.829,80927,0.886,0,0.0559,-1.746,1,0.112,115.056,4,0.777,8
愛情白話文 (feat. 楊碧琪 & 夏慕尼),六艾司 Lilice,54dyTAPDn2Jmwg5zaNN8wf,https://open.spotify.com/track/54dyTAPDn2Jmwg5zaNN8wf,0.136,0.625,102500,0.599,0,0.341,-7.423,1,0.192,95.962,4,0.755,7
Real Friends,gianni & kyle,66Q3fAmSX5eHamgbKa9alP,https://open.spotify.com/track/66Q3fAmSX5eHamgbKa9alP,0.262,0.441,251573,0.744,0.000382,0.138,-6.248,0,0.476,81.396,4,0.124,6
The Kid,PREP,1r8ZCjfrQxoy2wVaBUbpwg,https://open.spotify.com/track/1r8ZCjfrQxoy2wVaBUbpwg,0.0858,0.376,164782,0.657,0,0.0884,-4.658,1,0.0768,80.565,4,0.203,7
Homebody,ROZES,4pcgOnRhCaNBOz5e0xcyWg,https://open.spotify.com/track/4pcgOnRhCaNBOz5e0xcyWg,0.000111,0.673,121417,0.561,0.0000231,0.228,-4.058,1,0.0789,175.061,4,0.227,1
Out of Time,Isak Thomas and The Stoop Boys,2SLwbpExuoBDZBpjfefCtV,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV,0.255,0.65,214194,0.76,0,0.339,-4.422,0,0.0446,93.057,4,0.838,0
quarterlife,Mikey Jose,5qM8NWUsRQ1xztraiBgn0g,https://open.spotify.com/track/5qM8NWUsRQ1xztraiBgn0g,0.735,0.816,198437,0.717,0,0.167,-4.011,1,0.0428,117.977,4,0.677,5
Summertimes,L8ching,7eOuUmpnHBlg5zsm8Cs7c3,https://open.spotify.com/track/7eOuUmpnHBlg5zsm8Cs7c3,0.607,0.469,186187,0.208,0.00000172,0.127,-9.022,1,0.0448,81.098,4,0.215,0
Carrie,PREP,0ZUo4YjG4saFnEJhdWp9Bt,https://open.spotify.com/track/0ZUo4YjG4saFnEJhdWp9Bt,0.271,0.519,199947,0.749,0,0.119,-3.318,0,0.0405,147.905,4,0.29,6
Irene,Beach House,6FhhBZvjpH3BctvjvLUQ2S,https://open.spotify.com/track/6FhhBZvjpH3BctvjvLUQ2S,0.0781,0.851,252520,0.758,0,0.667,-5.154,0,0.12,99.988,4,0.71,4
Getting Older,Adam Lambert,4HOryCnbme0zBnF8LWij3f,https://open.spotify.com/track/4HOryCnbme0zBnF8LWij3f,0.974,0.599,244221,0.128,0.121,0.115,-17.261,1,0.109,159.679,4,0.367,10
3am Kawaii,MIDNIGHT BLXNDE,3SboZpbqC5lM2T7c55xacF,https://open.spotify.com/track/3SboZpbqC5lM2T7c55xacF,0.956,0.64,220656,0.18,0.0007,0.0817,-15.954,0,0.0252,82.002,4,0.367,6
Waiting Is A Waste,Mina Okabe,23lw0TWJHsenU54gom8xbC,https://open.spotify.com/track/23lw0TWJHsenU54gom8xbC,0.638,0.735,177981,0.533,0,0.0948,-7.582,1,0.0237,104.015,4,0.817,2
Brand New Nowhere,Mandy Moore,0pznRgpmNQXRZYCG6uYhNP,https://open.spotify.com/track/0pznRgpmNQXRZYCG6uYhNP,0.108,0.65,197587,0.611,0.000232,0.086,-4.967,1,0.0236,137.775,4,0.455,2
Stay in Bed and F*** (While The World Burns),Jonathan Roy,6vGox9zoKcJr0wZhch4LpS,https://open.spotify.com/track/6vGox9zoKcJr0wZhch4LpS,0.0491,0.514,164533,0.538,0,0.0893,-6.838,1,0.142,77.317,4,0.604,5
她gucci的時候眼淚總是prada prada的dior,屁孩 Ryan,23lqq1QDQ7gK79lUrnuE02,https://open.spotify.com/track/23lqq1QDQ7gK79lUrnuE02,0.173,0.823,205455,0.61,0,0.0934,-8.646,0,0.324,132.131,4,0.626,0
On and On,PREP,2uZWffKoemZDI0gHcBEcDc,https://open.spotify.com/track/2uZWffKoemZDI0gHcBEcDc,0.287,0.451,207069,0.692,0,0.115,-4.741,1,0.0398,174.122,4,0.423,11
I Can't Answer That,PREP,3UkWgTbTdxYlGchZQEVu1A,https://open.spotify.com/track/3UkWgTbTdxYlGchZQEVu1A,0.0502,0.761,246707,0.457,0.000109,0.106,-7.232,1,0.0479,153.008,4,0.866,10
GREEN HORIZON,punchnello,4tjoRdZYO1P1PqVYaWli72,https://open.spotify.com/track/4tjoRdZYO1P1PqVYaWli72,0.0968,0.95,181005,0.888,0,0.105,-4.609,1,0.185,127,4,0.924,11
Arms and Legs,Horsey,1tiTdyYVbE4JR6Kcn8EApF,https://open.spotify.com/track/1tiTdyYVbE4JR6Kcn8EApF,0.0138,0.382,144000,0.809,0.0851,0.325,-7.646,1,0.0604,110.992,4,0.347,7
Please Baby Please,Pamungkas,7vxWs5YKz38NZNPqclFsFD,https://open.spotify.com/track/7vxWs5YKz38NZNPqclFsFD,0.0128,0.414,229067,0.64,0.000489,0.112,-7.931,1,0.0593,183.73,4,0.811,7
If Standing Was Flying,Stephen Day,6AvP6fdLQFmUy3rRiZSJEW,https://open.spotify.com/track/6AvP6fdLQFmUy3rRiZSJEW,0.0304,0.492,249948,0.666,0.00000145,0.284,-5.739,1,0.0501,150.017,3,0.422,9
OUT OF CONTEXT,Devon,3D7gWaRnr2l7zBpimOXLam,https://open.spotify.com/track/3D7gWaRnr2l7zBpimOXLam,0.00631,0.538,171006,0.886,0.923,0.348,-9.13,1,0.0478,121.953,4,0.0618,8
Attitude,Alex Newell,3zBuFkWwxbraG7ZlsNc9Hr,https://open.spotify.com/track/3zBuFkWwxbraG7ZlsNc9Hr,0.0753,0.819,199067,0.736,0.000226,0.0896,-5.056,1,0.254,130.059,4,0.778,1
Hurts So Bad - with Josh Teskey,WILSN,7BNVtH2GKz8GGGXlFvHNZb,https://open.spotify.com/track/7BNVtH2GKz8GGGXlFvHNZb,0.155,0.479,235061,0.757,0.00000285,0.0984,-4.835,1,0.0371,150.063,4,0.614,7
Every Day and Every Night,WILSN,18WMlv400ZLzVuW33m8CGN,https://open.spotify.com/track/18WMlv400ZLzVuW33m8CGN,0.00556,0.562,174393,0.863,0.00000113,0.644,-4.982,0,0.0404,111.284,4,0.783,11
Jimmy,love-sadKID,3F5CgOj3wFlRv51JsHbxhe,https://open.spotify.com/track/3F5CgOj3wFlRv51JsHbxhe,0.000307,0.529,218365,0.673,0.00000241,0.093,-4.711,1,0.175,165.921,4,0.366,0
Speaking Silence,PREP,6idySHlhk5OPcfjF7VeunK,https://open.spotify.com/track/6idySHlhk5OPcfjF7VeunK,0.581,0.842,243845,0.381,0.0334,0.123,-12.629,0,0.0379,139.995,4,0.731,3
Vedamalady,The Mars Volta,5TCo8l3nXGpzYF9yxCaKBv,https://open.spotify.com/track/5TCo8l3nXGpzYF9yxCaKBv,0.0482,0.42,231933,0.936,0.0000171,0.122,-2.083,0,0.108,127.936,4,0.1,2
Circles,Wyn Starks,21jGcNKet2qwijlDFuPiPb,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,0.192,0.695,215280,0.762,0.00244,0.0863,-3.497,1,0.0395,120.042,4,0.553,0
In Water,Bay Ledges,7buVgoz5lA424pvZsbenw4,https://open.spotify.com/track/7buVgoz5lA424pvZsbenw4,0.148,0.833,227350,0.705,0.034,0.0703,-9.948,1,0.0333,116.985,4,0.977,10
Black Bear Lane,Couch,2EW0wwl6un7WXMgajiZQoa,https://open.spotify.com/track/2EW0wwl6un7WXMgajiZQoa,0.564,0.543,197617,0.413,0.000828,0.107,-7.799,1,0.0293,69.896,4,0.342,8
All That I Need,Grace Kelly,1YEc4P48PIWSPNip6FaI3T,https://open.spotify.com/track/1YEc4P48PIWSPNip6FaI3T,0.696,0.807,222458,0.31,0,0.169,-8.069,1,0.0761,117.968,4,0.63,2
Chillaxing,Amber An,3mcNc5zX04jlkSB03Sfg5V,https://open.spotify.com/track/3mcNc5zX04jlkSB03Sfg5V,0.804,0.366,273500,0.284,0.736,0.0539,-14.403,1,0.0583,119.822,4,0.0375,2
Inside,Melt,6WlmEymaXKMRs3D2c4j6os,https://open.spotify.com/track/6WlmEymaXKMRs3D2c4j6os,0.84,0.553,141040,0.465,0.97,0.102,-9.664,1,0.0301,79.223,4,0.652,9
Man in the Mirror,Squeeze House,2u2udGmop1z67EPpr91km7,https://open.spotify.com/track/2u2udGmop1z67EPpr91km7,0.429,0.794,319307,0.798,0.0000116,0.118,-5.639,1,0.0366,100.338,4,0.265,8
